parent_code,child_code,hierarchy_level,is_parent,수가코드,행위명_기본,분류코드,분류단계,행위명(한글),행위명(영문),수술여부,상대가치점수,급여여부,페이지,수집일시,병원급이상단가,보건기관단가,본인부담률50/100,본인부담률80/100,본인부담률90/100,의원단가,조산원단가,중복인정여부,치과병의원단가,한방병원단가
AB171,AB171,0,True,AB170,상급종합병원1등급간호관리료적용2인실입원료의치과 급여>기본진료료>입원료,가2마(1),의치과 급여>기본진료료>입원료,상급종합병원2인실입원료,Inpatient Care,O,"1,437.28",급여,3,2025-08-05T19:16:26.276126,"107,650원",0원,N,N,N,0원,0원,N,0원,0원
AB172,AB172,0,True,AB171,상급종합병원2등급간호관리료적용2인실입원료의치과 급여>기본진료료>입원료,가2마(1),의치과 급여>기본진료료>입원료,상급종합병원1등급간호관리료적용2인실입원료,Inpatient Care,O,"2,419.98",급여,3,2025-08-05T19:18:05.888334,"181,260원",0원,N,N,N,0원,0원,N,0원,0원
AB173,AB173,0,True,AB172,상급종합병원3등급간호관리료적용2인실입원료의치과 급여>기본진료료>입원료,가2마(1),의치과 급여>기본진료료>입원료,상급종합병원2등급간호관리료적용2인실입원료,Inpatient Care,O,"2,199.98",급여,3,2025-08-05T19:19:45.466113,"164,780원",0원,N,N,N,0원,0원,N,0원,0원
AB174,AB174,0,True,AB173,상급종합병원4등급간호관리료적용2인실입원료의치과 급여>기본진료료>입원료,가2마(1),의치과 급여>기본진료료>입원료,상급종합병원3등급간호관리료적용2인실입원료,Inpatient Care,O,"1,999.98",급여,3,2025-08-05T19:21:26.862700,"149,800원",0원,N,N,N,0원,0원,N,0원,0원
AB175,AB175,0,True,AB174,상급종합병원5등급간호관리료적용2인실입원료의치과 급여>기본진료료>입원료,가2마(1),의치과 급여>기본진료료>입원료,상급종합병원4등급간호관리료적용2인실입원료,Inpatient Care,O,"1,818.16",급여,3,2025-08-05T19:23:07.972441,"136,180원",0원,N,N,N,0원,0원,N,0원,0원
AB200,AB200,0,True,AB175,종합병원기본입원료의치과 급여>기본진료료>입원료,가2마(1),의치과 급여>기본진료료>입원료,상급종합병원5등급간호관리료적용2인실입원료,Inpatient Care,O,"1,581.01",급여,3,2025-08-05T19:24:49.880909,"118,420원",0원,N,N,N,0원,0원,N,0원,0원
AB201,AB201,0,True,AB200,종합병원1등급간호관리료적용기본입원료의치과 급여>기본진료료>입원료,가2가(2),의치과 급여>기본진료료>입원료,종합병원기본입원료,Inpatient Care,O,495.54,급여,3,2025-08-05T19:26:32.555078,"37,120원",0원,N,N,N,0원,0원,N,0원,0원
AB202,AB202,0,True,AB201,종합병원2등급간호관리료적용기본입원료의치과 급여>기본진료료>입원료,가2가(2),의치과 급여>기본진료료>입원료,종합병원1등급간호관리료적용기본입원료,Inpatient Care,O,834.34,급여,3,2025-08-05T19:28:15.528568,"62,490원",0원,N,N,N,0원,0원,N,0원,0원
AB203,AB203,0,True,AB202,종합병원3등급간호관리료적용기본입원료의치과 급여>기본진료료>입원료,가2가(2),의치과 급여>기본진료료>입원료,종합병원2등급간호관리료적용기본입원료,Inpatient Care,O,758.49,급여,3,2025-08-05T19:29:58.248972,"56,810원",0원,N,N,N,0원,0원,N,0원,0원
AB224,AB224,0,True,AB224,종합병원4등급간호관리료적용5인실입원료의치과 급여>기본진료료>입원료,,,,,,,,4,2025-08-05T19:32:00.166353,,,,,,,,,,
AB225,AB225,0,True,AB224,종합병원5등급간호관리료적용5인실입원료의치과 급여>기본진료료>입원료,가2나(2),의치과 급여>기본진료료>입원료,종합병원4등급간호관리료적용5인실입원료,Inpatient Care,O,779.48,급여,4,2025-08-05T19:33:12.336793,"58,380원",0원,N,N,N,0원,0원,N,0원,0원
AB227,AB227,0,True,AB225,종합병원7등급간호관리료적용5인실입원료-서울특별시및광역시구지역소재요양기관의치과 급여>기본진료료>입원료,가2나(2),의치과 급여>기본진료료>입원료,종합병원5등급간호관리료적용5인실입원료,Inpatient Care,O,708.62,급여,4,2025-08-05T19:34:51.219155,"53,080원",0원,N,N,N,0원,0원,N,0원,0원
AB237,AB237,0,True,AB227,"종합병원7등급간호관리료적용5인실입원료-의료취약지역,서울특별시및광역시구지역소재요양기관이아닌경우의치과 급여>기본진료료>입원료",가2나(2),의치과 급여>기본진료료>입원료,종합병원7등급간호관리료적용5인실입원료-서울특별시및광역시구지역소재요양기관,Inpatient Care,O,611.99,급여,4,2025-08-05T19:36:30.861063,"45,840원",0원,N,N,N,0원,0원,N,0원,0원
AB240,AB240,0,True,AB237,종합병원4인실입원료의치과 급여>기본진료료>입원료,가2나(2),의치과 급여>기본진료료>입원료,"종합병원7등급간호관리료적용5인실입원료-의료취약지역,서울특별시및광역시구지역소재요양기관이아닌경우",Inpatient Care,O,631.32,급여,4,2025-08-05T19:38:10.426903,"47,290원",0원,N,N,N,0원,0원,N,0원,0원
AB241,AB241,0,True,AB240,종합병원1등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료,가2다(2),의치과 급여>기본진료료>입원료,종합병원4인실입원료,Inpatient Care,O,792.86,급여,4,2025-08-05T19:39:50.536727,"59,390원",0원,N,N,N,0원,0원,N,0원,0원
AB242,AB242,0,True,AB241,종합병원2등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료,가2다(2),의치과 급여>기본진료료>입원료,종합병원1등급간호관리료적용4인실입원료,Inpatient Care,O,"1,334.97",급여,4,2025-08-05T19:41:31.865251,"99,990원",0원,N,N,N,0원,0원,N,0원,0원
AB243,AB243,0,True,AB242,종합병원3등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료,가2다(2),의치과 급여>기본진료료>입원료,종합병원2등급간호관리료적용4인실입원료,Inpatient Care,O,"1,213.61",급여,4,2025-08-05T19:43:13.037048,"90,900원",0원,N,N,N,0원,0원,N,0원,0원
AB244,AB244,0,True,AB243,종합병원4등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료,가2다(2),의치과 급여>기본진료료>입원료,종합병원3등급간호관리료적용4인실입원료,Inpatient Care,O,"1,103.28",급여,4,2025-08-05T19:44:54.574972,"82,640원",0원,N,N,N,0원,0원,N,0원,0원
AB245,AB245,0,True,AB244,종합병원5등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료,가2다(2),의치과 급여>기본진료료>입원료,종합병원4등급간호관리료적용4인실입원료,Inpatient Care,O,959.37,급여,4,2025-08-05T19:46:37.271001,"71,860원",0원,N,N,N,0원,0원,N,0원,0원
AB247,AB247,0,True,AB245,종합병원7등급간호관리료적용4인실입원료-서울특별시및광역시구지역소재요양기관의치과 급여>기본진료료>입원료,가2다(2),의치과 급여>기본진료료>입원료,종합병원5등급간호관리료적용4인실입원료,Inpatient Care,O,872.15,급여,4,2025-08-05T19:48:20.305127,"65,320원",0원,N,N,N,0원,0원,N,0원,0원
AB271,AB271,0,True,AB271,종합병원1등급간호관리료적용2인실입원료의치과 급여>기본진료료>입원료,,,,,,,,5,2025-08-05T19:50:21.117626,,,,,,,,,,
AB272,AB272,0,True,AB271,종합병원2등급간호관리료적용2인실입원료의치과 급여>기본진료료>입원료,가2마(2),의치과 급여>기본진료료>입원료,종합병원1등급간호관리료적용2인실입원료,Inpatient Care,O,"2,002.43",급여,5,2025-08-05T19:51:33.299246,"149,980원",0원,N,N,N,0원,0원,N,0원,0원
AB273,AB273,0,True,AB272,종합병원3등급간호관리료적용2인실입원료의치과 급여>기본진료료>입원료,가2마(2),의치과 급여>기본진료료>입원료,종합병원2등급간호관리료적용2인실입원료,Inpatient Care,O,"1,820.39",급여,5,2025-08-05T19:53:12.558954,"136,350원",0원,N,N,N,0원,0원,N,0원,0원
AB274,AB274,0,True,AB273,종합병원4등급간호관리료적용2인실입원료의치과 급여>기본진료료>입원료,가2마(2),의치과 급여>기본진료료>입원료,종합병원3등급간호관리료적용2인실입원료,Inpatient Care,O,"1,654.9",급여,5,2025-08-05T19:54:52.422269,"123,950원",0원,N,N,N,0원,0원,N,0원,0원
AB275,AB275,0,True,AB274,종합병원5등급간호관리료적용2인실입원료의치과 급여>기본진료료>입원료,가2마(2),의치과 급여>기본진료료>입원료,종합병원4등급간호관리료적용2인실입원료,Inpatient Care,O,"1,439.04",급여,5,2025-08-05T19:56:32.129130,"107,780원",0원,N,N,N,0원,0원,N,0원,0원
AB277,AB277,0,True,AB275,종합병원7등급간호관리료적용2인실입원료-서울특별시및광역시구지역소재요양기관의치과 급여>기본진료료>입원료,가2마(2),의치과 급여>기본진료료>입원료,종합병원5등급간호관리료적용2인실입원료,Inpatient Care,O,"1,308.22",급여,5,2025-08-05T19:58:12.562573,"97,990원",0원,N,N,N,0원,0원,N,0원,0원
AB287,AB287,0,True,AB277,종합병원7등급간호관리료적용3인실입원료-의료취약지역서울특별시및광역시구지역소재요양기관이아닌경우의치과 급여>기본진료료>입원료,가2마(2),의치과 급여>기본진료료>입원료,종합병원7등급간호관리료적용2인실입원료-서울특별시및광역시구지역소재요양기관,Inpatient Care,O,"1,129.83",급여,5,2025-08-05T19:59:53.900997,"84,620원",0원,N,N,N,0원,0원,N,0원,0원
AB297,AB297,0,True,AB287,종합병원7등급간호관리료적용2인실입원료-의료취약지역서울특별시및광역시구지역소재요양기관이아닌경우의치과 급여>기본진료료>입원료,가2라(2),의치과 급여>기본진료료>입원료,종합병원7등급간호관리료적용3인실입원료-의료취약지역서울특별시및광역시구지역소재요양기관이아닌경우,Inpatient Care,O,932.4,급여,5,2025-08-05T20:01:34.953022,"69,840원",0원,N,N,N,0원,0원,N,0원,0원
AB300,AB300,0,True,AB297,"병원, 치과병원, 한방병원 내 의·치과 기본입원료의치과 급여>기본진료료>입원료",가2마(2),의치과 급여>기본진료료>입원료,종합병원7등급간호관리료적용2인실입원료-의료취약지역서울특별시및광역시구지역소재요양기관이아닌경우,Inpatient Care,O,"1,165.5",급여,5,2025-08-05T20:03:17.146346,"87,300원",0원,N,N,N,0원,0원,N,0원,0원
AB301,AB301,0,True,AB300,"병원, 치과병원, 한방병원 내 의·치과 1등급간호관리료적용기본입원료의치과 급여>기본진료료>입원료",가2가(3),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 기본입원료",Inpatient Care,O,431.6,급여,5,2025-08-05T20:04:59.283200,"32,330원",0원,N,N,N,0원,0원,N,"36,600원","36,600원"
AB302,AB302,0,True,AB301,"병원, 치과병원, 한방병원 내 의·치과 2등급간호관리료적용기본입원료의치과 급여>기본진료료>입원료",가2가(3),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 1등급간호관리료적용기본입원료",Inpatient Care,O,758.29,급여,5,2025-08-05T20:06:42.470387,"56,800원",0원,N,N,N,0원,0원,N,"64,300원","64,300원"
AB324,AB324,0,True,AB324,"병원, 치과병원, 한방병원 내 의·치과 4등급간호관리료적용5인실입원료의치과 급여>기본진료료>입원료",,,,,,,,6,2025-08-05T20:08:43.460826,,,,,,,,,,
AB325,AB325,0,True,AB324,"병원, 치과병원, 한방병원 내 의·치과 5등급간호관리료적용5인실입원료의치과 급여>기본진료료>입원료",가2나(3),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 4등급간호관리료적용5인실입원료",Inpatient Care,O,740.61,급여,6,2025-08-05T20:09:56.055123,"55,470원",0원,N,N,N,0원,0원,N,"62,800원","62,800원"
AB327,AB327,0,True,AB325,"병원, 치과병원, 한방병원 내 의·치과 7등급간호관리료적용5인실입원료-서울특별시및광역시구지역소재요양기관의치과 급여>기본진료료>입원료",가2나(3),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 5등급간호관리료적용5인실입원료",Inpatient Care,O,673.28,급여,6,2025-08-05T20:11:35.456690,"50,430원",0원,N,N,N,0원,0원,N,"57,090원","57,090원"
AB337,AB337,0,True,AB327,"병원, 치과병원, 한방병원 내 의·치과 7등급간호관리료5인실입원료-의료취약지역,서울특별시및광역시구지역소재요양기관이아닌경우의치과 급여>기본진료료>입원료",가2나(3),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 7등급간호관리료적용5인실입원료-서울특별시및광역시구지역소재요양기관",Inpatient Care,O,533.02,급여,6,2025-08-05T20:13:14.882621,"39,920원",0원,N,N,N,0원,0원,N,"45,200원","45,200원"
AB340,AB340,0,True,AB337,"병원, 치과병원, 한방병원 내 의·치과 4인실입원료의치과 급여>기본진료료>입원료",가2나(3),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 7등급간호관리료5인실입원료-의료취약지역,서울특별시및광역시구지역소재요양기관이아닌경우",Inpatient Care,O,549.85,급여,6,2025-08-05T20:14:54.607006,"41,180원",0원,N,N,N,0원,0원,N,"46,630원","46,630원"
AB341,AB341,0,True,AB340,"병원, 치과병원, 한방병원 내 의·치과 1등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료",가2다(3),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 4인실입원료",Inpatient Care,O,690.57,급여,6,2025-08-05T20:16:34.358868,"51,720원",0원,N,N,N,0원,0원,N,"58,560원","58,560원"
AB342,AB342,0,True,AB341,"병원, 치과병원, 한방병원 내 의·치과 2등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료",가2다(3),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 1등급간호관리료적용4인실입원료",Inpatient Care,O,"1,213.28",급여,6,2025-08-05T20:18:16.017124,"90,870원",0원,N,N,N,0원,0원,N,"102,890원","102,890원"
AB343,AB343,0,True,AB342,"병원, 치과병원, 한방병원 내 의·치과 3등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료",가2다(3),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 2등급간호관리료적용4인실입원료",Inpatient Care,O,"1,102.98",급여,6,2025-08-05T20:19:56.956837,"82,610원",0원,N,N,N,0원,0원,N,"93,530원","93,530원"
AB344,AB344,0,True,AB343,"병원, 치과병원, 한방병원 내 의·치과 4등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료",가2다(3),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 3등급간호관리료적용4인실입원료",Inpatient Care,O,"1,002.71",급여,6,2025-08-05T20:21:39.072996,"75,100원",0원,N,N,N,0원,0원,N,"85,030원","85,030원"
AB345,AB345,0,True,AB344,"병원, 치과병원, 한방병원 내 의·치과 5등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료",가2다(3),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 4등급간호관리료적용4인실입원료",Inpatient Care,O,911.55,급여,6,2025-08-05T20:23:21.678652,"68,280원",0원,N,N,N,0원,0원,N,"77,300원","77,300원"
AB347,AB347,0,True,AB345,"병원, 치과병원, 한방병원 내 의·치과 7등급간호관리료적용4인실입원료-서울특별시및광역시구지역소재요양기관의치과 급여>기본진료료>입원료",가2다(3),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 5등급간호관리료적용4인실입원료",Inpatient Care,O,828.68,급여,6,2025-08-05T20:25:04.729142,"62,070원",0원,N,N,N,0원,0원,N,"70,270원","70,270원"
AB357,AB357,0,True,AB347,"병원, 치과병원, 한방병원 내 의·치과 7등급간호관리료4인실입원료-의료취약지역,서울특별시및광역시구지역소재요양기관이아닌경우의치과 급여>기본진료료>입원료",가2다(3),의치과 급여>기본진료료>입원료,"병원, 치과병원, 한방병원 내 의·치과 7등급간호관리료적용4인실입원료-서울특별시및광역시구지역소재요양기관",Inpatient Care,O,656.04,급여,6,2025-08-05T20:26:47.820885,"49,140원",0원,N,N,N,0원,0원,N,"55,630원","55,630원"
AB422,AB422,0,True,AB422,"의원,치과의원,보건의료원 의·치과 2등급간호관리료적용5인실입원료의치과 급여>기본진료료>입원료",,,,,,,,7,2025-08-05T20:28:49.947838,,,,,,,,,,
AB423,AB423,0,True,AB422,"의원,치과의원,보건의료원 의·치과 3등급간호관리료적용5인실입원료의치과 급여>기본진료료>입원료",가2나(5),의치과 급여>기본진료료>입원료,"의원,치과의원,보건의료원 의·치과 2등급간호관리료적용5인실입원료",Inpatient Care,O,653.13,급여,7,2025-08-05T20:30:02.224902,0원,"53,230원",N,N,N,"54,470원",0원,N,"55,390원",0원
AB424,AB424,0,True,AB423,"의원,치과의원,보건의료원 의·치과 4등급간호관리료적용5인실입원료의치과 급여>기본진료료>입원료",가2나(5),의치과 급여>기본진료료>입원료,"의원,치과의원,보건의료원 의·치과 3등급간호관리료적용5인실입원료",Inpatient Care,O,606.48,급여,7,2025-08-05T20:31:41.222980,0원,"49,430원",N,N,N,"50,580원",0원,N,"51,430원",0원
AB425,AB425,0,True,AB424,"의원,치과의원,보건의료원 의·치과 5등급간호관리료적용5인실입원료의치과 급여>기본진료료>입원료",가2나(5),의치과 급여>기본진료료>입원료,"의원,치과의원,보건의료원 의·치과 4등급간호관리료적용5인실입원료",Inpatient Care,O,559.82,급여,7,2025-08-05T20:33:20.805073,0원,"45,630원",N,N,N,"46,690원",0원,N,"47,470원",0원
AB440,AB440,0,True,AB425,"의원,치과의원,보건의료원 의·치과 4인실입원료의치과 급여>기본진료료>입원료",가2나(5),의치과 급여>기본진료료>입원료,"의원,치과의원,보건의료원 의·치과 5등급간호관리료적용5인실입원료",Inpatient Care,O,513.17,급여,7,2025-08-05T20:35:00.383151,0원,"41,820원",N,N,N,"42,800원",0원,N,"43,520원",0원
AB441,AB441,0,True,AB440,"의원,치과의원,보건의료원 의·치과 1등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료",가2다(5),의치과 급여>기본진료료>입원료,"의원,치과의원,보건의료원 의·치과 4인실입원료",Inpatient Care,O,574.18,급여,7,2025-08-05T20:36:40.792966,0원,"46,800원",N,N,N,"47,890원",0원,N,"48,690원",0원
AB442,AB442,0,True,AB441,"의원,치과의원,보건의료원 의·치과 2등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료",가2다(5),의치과 급여>기본진료료>입원료,"의원,치과의원,보건의료원 의·치과 1등급간호관리료적용4인실입원료",Inpatient Care,O,861.27,급여,7,2025-08-05T20:38:22.220347,0원,"70,190원",N,N,N,"71,830원",0원,N,"73,040원",0원
AB443,AB443,0,True,AB442,"의원,치과의원,보건의료원 의·치과 3등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료",가2다(5),의치과 급여>기본진료료>입원료,"의원,치과의원,보건의료원 의·치과 2등급간호관리료적용4인실입원료",Inpatient Care,O,803.85,급여,7,2025-08-05T20:40:03.183228,0원,"65,510원",N,N,N,"67,040원",0원,N,"68,170원",0원
AB444,AB444,0,True,AB443,"의원,치과의원,보건의료원 의·치과 4등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료",가2다(5),의치과 급여>기본진료료>입원료,"의원,치과의원,보건의료원 의·치과 3등급간호관리료적용4인실입원료",Inpatient Care,O,746.43,급여,7,2025-08-05T20:41:45.268918,0원,"60,830원",N,N,N,"62,250원",0원,N,"63,300원",0원
AB445,AB445,0,True,AB444,"의원,치과의원,보건의료원 의·치과 5등급간호관리료적용4인실입원료의치과 급여>기본진료료>입원료",가2다(5),의치과 급여>기본진료료>입원료,"의원,치과의원,보건의료원 의·치과 4등급간호관리료적용4인실입원료",Inpatient Care,O,689.02,급여,7,2025-08-05T20:43:27.376488,0원,"56,160원",N,N,N,"57,460원",0원,N,"58,430원",0원
AC001,AC001,0,True,AC001,야간진료관리료-주당 60시간 이상의치과 급여>기본진료료>야간진료관리료,가26가,의치과 급여>기본진료료>야간진료관리료,야간진료관리료-주당 60시간 이상,,O,150.41,급여,7,2025-08-05T20:45:10.619011,"11,270원","12,260원",N,N,N,"12,540원",0원,N,"12,750원","12,750원"
AC034,AC034,0,True,AC034,수면검사실 관리료-의원의치과 급여>기본진료료>수면검사실 관리료,가30라,의치과 급여>기본진료료>수면검사실 관리료,수면검사실 관리료-의원,,O,"1,169.45",급여,8,2025-08-05T20:46:56.110991,0원,"95,310원",N,N,N,"97,530원",0원,N,"99,170원",0원
AC301,AC301,0,True,AC034,소아 진정관리료-상급종합병원의치과 급여>기본진료료>소아 진정관리료,가30라,의치과 급여>기본진료료>수면검사실 관리료,수면검사실 관리료-의원,,O,"1,169.45",급여,8,2025-08-05T20:48:33.668583,0원,"95,310원",N,N,N,"97,530원",0원,N,"99,170원",0원
